Signal Legend:

Key        Signal Name

0        = cordic_v4:inst18|o_data_angle[29..0]
1        = LPF_FIR_2_V2:inst50|filter_out[46..0]
2        = LPF_FIR_2_V2:inst50|filter_out[46]
3        = LPF_FIR_2_V2:inst50|filter_out[45]
4        = LPF_FIR_2_V2:inst50|filter_out[44]
5        = LPF_FIR_2_V2:inst50|filter_out[43]
6        = LPF_FIR_2_V2:inst50|filter_out[42]
7        = LPF_FIR_2_V2:inst50|filter_out[41]
8        = LPF_FIR_2_V2:inst50|filter_out[40]
9        = LPF_FIR_2_V2:inst50|filter_out[39]
10       = LPF_FIR_2_V2:inst50|filter_out[38]
11       = LPF_FIR_2_V2:inst50|filter_out[37]
12       = LPF_FIR_2_V2:inst50|filter_out[36]
13       = LPF_FIR_2_V2:inst50|filter_out[35]
14       = LPF_FIR_2_V2:inst50|filter_out[34..0]

Data Table:

Signals-> 0         1  2 3 4 5 6 7 8 9 10 11 12 13 14           

sample

-16       24930     71 0 0 0 0 0 1 0 0 0  1  1  1  4974241115   
-15       13276     40 0 0 0 0 0 0 1 0 1  0  0  0  -15219965332 
-14       37228     21 0 0 0 0 0 0 0 1 0  1  0  1  3098481343   
-13       268421950 5  0 0 0 0 0 0 0 0 0  1  0  1  -15837698401 
-12       39214     -1 1 1 1 1 1 1 1 1 1  1  1  1  -7482501559  
-11       44416     0  0 0 0 0 0 0 0 0 0  0  0  0  6343600944   
-10       268407378 0  0 0 0 0 0 0 0 0 0  0  0  0  6400340805   
-9        2576      0  0 0 0 0 0 0 0 0 0  0  0  0  6336917279   
-8        268418596 0  0 0 0 0 0 0 0 0 0  0  0  0  6196153029   
-7        268404408 0  0 0 0 0 0 0 0 0 0  0  0  0  6051815021   
-6        268392638 0  0 0 0 0 0 0 0 0 0  0  0  0  6081957923   
-5        268416364 0  0 0 0 0 0 0 0 0 0  0  0  0  6387859600   
-4        268429506 0  0 0 0 0 0 0 0 0 0  0  0  0  6956194991   
-3        268431738 0  0 0 0 0 0 0 0 0 0  0  0  0  7719102739   
-2        22220     0  0 0 0 0 0 0 0 0 0  0  0  0  8409227074   
-1        18866     0  0 0 0 0 0 0 0 0 0  0  0  0  8999140574   
0         268425922 0  0 0 0 0 0 0 0 0 0  0  0  0  9373767762   
1         268412550 0  0 0 0 0 0 0 0 0 0  0  0  0  9532238408   
2         16174     0  0 0 0 0 0 0 0 0 0  0  0  0  9377730891   
3         16400     0  0 0 0 0 0 0 0 0 0  0  0  0  8870878890   
4         268402882 0  0 0 0 0 0 0 0 0 0  0  0  0  8071190403   
5         268399600 0  0 0 0 0 0 0 0 0 0  0  0  0  7135658303   
6         13732     0  0 0 0 0 0 0 0 0 0  0  0  0  6208051344   
7         268427904 0  0 0 0 0 0 0 0 0 0  0  0  0  5524083757   
8         13962     71 0 0 0 0 0 1 0 0 0  1  1  1  5190830348   
9         6180      40 0 0 0 0 0 0 1 0 1  0  0  0  -15020101688 
10        29680     21 0 0 0 0 0 0 0 1 0  1  0  1  3517549595   
11        16400     5  0 0 0 0 0 0 0 0 0  1  0  1  -15128586760 
12        268418140 -1 1 1 1 1 1 1 1 1 1  1  1  1  -6561614481  
13        268435092 0  0 0 0 0 0 0 0 0 0  0  0  0  7241144113   
14        268425232 0  0 0 0 0 0 0 0 0 0  0  0  0  7131601537   
15        268407148 0  0 0 0 0 0 0 0 0 0  0  0  0  6899237760   
16        24248     0  0 0 0 0 0 0 0 0 0  0  0  0  6787933738   
17        268401966 0  0 0 0 0 0 0 0 0 0  0  0  0  6784416084   
18        1046      0  0 0 0 0 0 0 0 0 0  0  0  0  6988636385   
19        27444     0  0 0 0 0 0 0 0 0 0  0  0  0  7366858431   
20        37846     0  0 0 0 0 0 0 0 0 0  0  0  0  7784460157   
21        268394188 0  0 0 0 0 0 0 0 0 0  0  0  0  8164572760   
22        268401054 0  0 0 0 0 0 0 0 0 0  0  0  0  8379149981   
23        42362     0  0 0 0 0 0 0 0 0 0  0  0  0  8372157691   
24        25842     0  0 0 0 0 0 0 0 0 0  0  0  0  8161472091   
25        268433110 0  0 0 0 0 0 0 0 0 0  0  0  0  7707262550   
26        26532     0  0 0 0 0 0 0 0 0 0  0  0  0  7102024914   
27        39900     0  0 0 0 0 0 0 0 0 0  0  0  0  6480244815   
28        32804     0  0 0 0 0 0 0 0 0 0  0  0  0  5978024971   
29        268412052 0  0 0 0 0 0 0 0 0 0  0  0  0  5658532227   
30        268413236 0  0 0 0 0 0 0 0 0 0  0  0  0  5553463099   
31        268405550 0  0 0 0 0 0 0 0 0 0  0  0  0  5547047769   
32        29906     0  0 0 0 0 0 0 0 0 0  0  0  0  5550943642   
33        41450     0  0 0 0 0 0 0 0 0 0  0  0  0  5527742884   
34        19778     0  0 0 0 0 0 0 0 0 0  0  0  0  5488827336   
35        15488     0  0 0 0 0 0 0 0 0 0  0  0  0  5474352202   
36        268390584 0  0 0 0 0 0 0 0 0 0  0  0  0  5513343491   
37        268392178 0  0 0 0 0 0 0 0 0 0  0  0  0  5575341495   
38        268406692 0  0 0 0 0 0 0 0 0 0  0  0  0  5562272861   
39        27214     0  0 0 0 0 0 0 0 0 0  0  0  0  5356124711   
40        268404864 0  0 0 0 0 0 0 0 0 0  0  0  0  5054690402   
41        25160     0  0 0 0 0 0 0 0 0 0  0  0  0  4672934857   
42        39214     0  0 0 0 0 0 0 0 0 0  0  0  0  4433067421   
43        268390584 0  0 0 0 0 0 0 0 0 0  0  0  0  4492941959   
44        268431282 0  0 0 0 0 0 0 0 0 0  0  0  0  4898522418   
45        6406      0  0 0 0 0 0 0 0 0 0  0  0  0  5525436410   
46        30818     0  0 0 0 0 0 0 0 0 0  0  0  0  6183802266   
47        6640      0  0 0 0 0 0 0 0 0 0  0  0  0  6697435864   
48        268396698 0  0 0 0 0 0 0 0 0 0  0  0  0  6935166256   
49        38528     0  0 0 0 0 0 0 0 0 0  0  0  0  6960826721   
50        268419968 0  0 0 0 0 0 0 0 0 0  0  0  0  6699631406   
51        4404      0  0 0 0 0 0 0 0 0 0  0  0  0  6352991900   
52        268404408 0  0 0 0 0 0 0 0 0 0  0  0  0  5894969734   
53        268421038 0  0 0 0 0 0 0 0 0 0  0  0  0  5390763587   
54        268418366 0  0 0 0 0 0 0 0 0 0  0  0  0  4911532004   
55        15944     0  0 0 0 0 0 0 0 0 0  0  0  0  4627984567   
56        268433792 0  0 0 0 0 0 0 0 0 0  0  0  0  4578310417   
57        39900     0  0 0 0 0 0 0 0 0 0  0  0  0  4937274060   
58        20694     0  0 0 0 0 0 0 0 0 0  0  0  0  5556585127   
59        268393780 0  0 0 0 0 0 0 0 0 0  0  0  0  6334757673   
60        10680     0  0 0 0 0 0 0 0 0 0  0  0  0  7026954634   
61        268424776 0  0 0 0 0 0 0 0 0 0  0  0  0  7452197285   
62        268413850 0  0 0 0 0 0 0 0 0 0  0  0  0  7607013440   
63        268431508 0  0 0 0 0 0 0 0 0 0  0  0  0  7653453342   
64        24248     0  0 0 0 0 0 0 0 0 0  0  0  0  7625356027   
65        268395782 0  0 0 0 0 0 0 0 0 0  0  0  0  7732870466   
66        5268      0  0 0 0 0 0 0 0 0 0  0  0  0  8039252931   
67        268401736 0  0 0 0 0 0 0 0 0 0  0  0  0  8382585607   
68        17546     0  0 0 0 0 0 0 0 0 0  0  0  0  8671473701   
69        268423322 0  0 0 0 0 0 0 0 0 0  0  0  0  8753680710   
70        268410752 0  0 0 0 0 0 0 0 0 0  0  0  0  8619763297   
71        268396472 0  0 0 0 0 0 0 0 0 0  0  0  0  8323072367   
72        268402426 0  0 0 0 0 0 0 0 0 0  0  0  0  8006655944   
73        2802      0  0 0 0 0 0 0 0 0 0  0  0  0  7817443768   
74        268391266 0  0 0 0 0 0 0 0 0 0  0  0  0  7864169547   
75        31274     0  0 0 0 0 0 0 0 0 0  0  0  0  8077688719   
76        268407604 0  0 0 0 0 0 0 0 0 0  0  0  0  8333611101   
77        25842     0  0 0 0 0 0 0 0 0 0  0  0  0  8543244580   
78        28990     0  0 0 0 0 0 0 0 0 0  0  0  0  8523231973   
79        6180      0  0 0 0 0 0 0 0 0 0  0  0  0  8205015995   
80        17772     0  0 0 0 0 0 0 0 0 0  0  0  0  7625891081   
81        268417228 0  0 0 0 0 0 0 0 0 0  0  0  0  6942621158   
82        25616     0  0 0 0 0 0 0 0 0 0  0  0  0  6143580416   
83        14188     0  0 0 0 0 0 0 0 0 0  0  0  0  5352461068   
84        268391722 0  0 0 0 0 0 0 0 0 0  0  0  0  4761094612   
85        268415452 0  0 0 0 0 0 0 0 0 0  0  0  0  4453915084   
86        37846     0  0 0 0 0 0 0 0 0 0  0  0  0  4388683383   
87        39674     0  0 0 0 0 0 0 0 0 0  0  0  0  4542255090   
88        25842     71 0 0 0 0 0 1 0 0 0  1  1  1  4656332771   
89        32574     40 0 0 0 0 0 0 1 0 1  0  0  0  -15481682800 
90        268404020 21 0 0 0 0 0 0 0 1 0  1  0  1  2708713552   
91        268406236 5  0 0 0 0 0 0 0 0 0  1  0  1  -16407005037 
92        268417684 -1 1 1 1 1 1 1 1 1 1  1  1  1  -8228195351  
93        268429506 0  0 0 0 0 0 0 0 0 0  0  0  0  5413706680   
94        268407378 0  0 0 0 0 0 0 0 0 0  0  0  0  5312364375   
95        35856     0  0 0 0 0 0 0 0 0 0  0  0  0  5201477526   
96        268429962 0  0 0 0 0 0 0 0 0 0  0  0  0  5213853141   
