Groups:
fifo_decimation:inst11|fifo_0_out_readdata[31..0] =, fifo_decimation:inst11|fifo_0_out_readdata[31], fifo_decimation:inst11|fifo_0_out_readdata[30], fifo_decimation:inst11|fifo_0_out_readdata[29], fifo_decimation:inst11|fifo_0_out_readdata[28], fifo_decimation:inst11|fifo_0_out_readdata[27], fifo_decimation:inst11|fifo_0_out_readdata[26], fifo_decimation:inst11|fifo_0_out_readdata[25], fifo_decimation:inst11|fifo_0_out_readdata[24], fifo_decimation:inst11|fifo_0_out_readdata[23], fifo_decimation:inst11|fifo_0_out_readdata[22], fifo_decimation:inst11|fifo_0_out_readdata[21], fifo_decimation:inst11|fifo_0_out_readdata[20], fifo_decimation:inst11|fifo_0_out_readdata[19], fifo_decimation:inst11|fifo_0_out_readdata[18], fifo_decimation:inst11|fifo_0_out_readdata[17], fifo_decimation:inst11|fifo_0_out_readdata[16], fifo_decimation:inst11|fifo_0_out_readdata[15], fifo_decimation:inst11|fifo_0_out_readdata[14], fifo_decimation:inst11|fifo_0_out_readdata[13], fifo_decimation:inst11|fifo_0_out_readdata[12], fifo_decimation:inst11|fifo_0_out_readdata[11], fifo_decimation:inst11|fifo_0_out_readdata[10], fifo_decimation:inst11|fifo_0_out_readdata[9], fifo_decimation:inst11|fifo_0_out_readdata[8], fifo_decimation:inst11|fifo_0_out_readdata[7], fifo_decimation:inst11|fifo_0_out_readdata[6], fifo_decimation:inst11|fifo_0_out_readdata[5], fifo_decimation:inst11|fifo_0_out_readdata[4], fifo_decimation:inst11|fifo_0_out_readdata[3], fifo_decimation:inst11|fifo_0_out_readdata[2], fifo_decimation:inst11|fifo_0_out_readdata[1], fifo_decimation:inst11|fifo_0_out_readdata[0],  binary
Phase_Frequency_Converter:inst10|o_omega[16..0] =, Phase_Frequency_Converter:inst10|o_omega[16], Phase_Frequency_Converter:inst10|o_omega[15], Phase_Frequency_Converter:inst10|o_omega[14], Phase_Frequency_Converter:inst10|o_omega[13], Phase_Frequency_Converter:inst10|o_omega[12], Phase_Frequency_Converter:inst10|o_omega[11], Phase_Frequency_Converter:inst10|o_omega[10], Phase_Frequency_Converter:inst10|o_omega[9], Phase_Frequency_Converter:inst10|o_omega[8], Phase_Frequency_Converter:inst10|o_omega[7], Phase_Frequency_Converter:inst10|o_omega[6], Phase_Frequency_Converter:inst10|o_omega[5], Phase_Frequency_Converter:inst10|o_omega[4], Phase_Frequency_Converter:inst10|o_omega[3], Phase_Frequency_Converter:inst10|o_omega[2], Phase_Frequency_Converter:inst10|o_omega[1], Phase_Frequency_Converter:inst10|o_omega[0],  binary

Data:
time unit: s, fifo_decimation:inst11|fifo_0_out_readdata[31..0], fifo_decimation:inst11|fifo_0_out_readdata[31], fifo_decimation:inst11|fifo_0_out_readdata[30], fifo_decimation:inst11|fifo_0_out_readdata[29], fifo_decimation:inst11|fifo_0_out_readdata[28], fifo_decimation:inst11|fifo_0_out_readdata[27], fifo_decimation:inst11|fifo_0_out_readdata[26], fifo_decimation:inst11|fifo_0_out_readdata[25], fifo_decimation:inst11|fifo_0_out_readdata[24], fifo_decimation:inst11|fifo_0_out_readdata[23], fifo_decimation:inst11|fifo_0_out_readdata[22], fifo_decimation:inst11|fifo_0_out_readdata[21], fifo_decimation:inst11|fifo_0_out_readdata[20], fifo_decimation:inst11|fifo_0_out_readdata[19], fifo_decimation:inst11|fifo_0_out_readdata[18], fifo_decimation:inst11|fifo_0_out_readdata[17], fifo_decimation:inst11|fifo_0_out_readdata[16], fifo_decimation:inst11|fifo_0_out_readdata[15], fifo_decimation:inst11|fifo_0_out_readdata[14], fifo_decimation:inst11|fifo_0_out_readdata[13], fifo_decimation:inst11|fifo_0_out_readdata[12], fifo_decimation:inst11|fifo_0_out_readdata[11], fifo_decimation:inst11|fifo_0_out_readdata[10], fifo_decimation:inst11|fifo_0_out_readdata[9], fifo_decimation:inst11|fifo_0_out_readdata[8], fifo_decimation:inst11|fifo_0_out_readdata[7], fifo_decimation:inst11|fifo_0_out_readdata[6], fifo_decimation:inst11|fifo_0_out_readdata[5], fifo_decimation:inst11|fifo_0_out_readdata[4], fifo_decimation:inst11|fifo_0_out_readdata[3], fifo_decimation:inst11|fifo_0_out_readdata[2], fifo_decimation:inst11|fifo_0_out_readdata[1], fifo_decimation:inst11|fifo_0_out_readdata[0], Phase_Frequency_Converter:inst10|o_omega[16..0], Phase_Frequency_Converter:inst10|o_omega[16], Phase_Frequency_Converter:inst10|o_omega[15], Phase_Frequency_Converter:inst10|o_omega[14], Phase_Frequency_Converter:inst10|o_omega[13], Phase_Frequency_Converter:inst10|o_omega[12], Phase_Frequency_Converter:inst10|o_omega[11], Phase_Frequency_Converter:inst10|o_omega[10], Phase_Frequency_Converter:inst10|o_omega[9], Phase_Frequency_Converter:inst10|o_omega[8], Phase_Frequency_Converter:inst10|o_omega[7], Phase_Frequency_Converter:inst10|o_omega[6], Phase_Frequency_Converter:inst10|o_omega[5], Phase_Frequency_Converter:inst10|o_omega[4], Phase_Frequency_Converter:inst10|o_omega[3], Phase_Frequency_Converter:inst10|o_omega[2], Phase_Frequency_Converter:inst10|o_omega[1], Phase_Frequency_Converter:inst10|o_omega[0], 
0, XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 00000000000000010101000010111000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 00000000111001000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
2, 00000000000000010100111100110100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 00000001010101110, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 
3, 00000000000000010100110101101100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 00000001010101110, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 
4, 00000000000000010100110010000110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 00000000110000100, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 
5, 00000000000000001011000110110010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 00000000110000100, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 
6, 00000000000000001011000110110010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 00000000011100110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
7, 00000000000000001010111101001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 00000000011100110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 
8, 00000000000000001010111001100110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 00000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 00000000000000001010110010011110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 00000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 00000000000000001010101011010110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 00000000011100010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
11, 00000000000000001010101011010110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 00000000011100010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
12, 00000000000000001010100000100100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 00000000111001000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
13, 00000000000000001010011101000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 00000000111001000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
14, 00000000000000001010011001011100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 00000001010110010, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
